Table 1
Tuotekoodi;Tuote;EAN koodi;Erän koko;Sisältää;Tilausyksikkö;Yksikköhinta;Vertailuhinta;Vertailuhinnan yksikkö;Yhteensä (sis. alv);Nettohinta;Muu alennus;Yksikköhinta ilman alennusta;Vero EUR;Vero %;Valmistaja;Valmistajan nimi;Kategorian nimi
8093786;Santa Maria 980g Chermoula Pesto maustetahna;7311312009074;1;1;kpl;10,45;10,66;kg;11,91;Ei;Kyllä;13,55;1,46;0;1023;SANTA MARIA AB;Maustekastikkeet
8093859;Santa Maria 750g Preserved Lemon Paste;7311312009104;1;1;kpl;9,79;13,05;kg;11,16;Ei;Kyllä;12,69;1,37;0;1023;SANTA MARIA AB;Maustetahnat
8093749;Santa Maria 1000g Harissa Sauce;7311312009081;1;1;kpl;9,15;9,15;kg;10,43;Ei;Kyllä;11,85;1,28;0;1023;SANTA MARIA AB;Maustekastikkeet
8043409;Valio Hyvä suomalainen Arki® Eila® kevytmaitojuoma 1 l laktoositon;6408430000487;1;1;kpl;1,44;1,44;l;1,64;Ei;Ei;1,44;0,2;0;96;VALIO OY TUORE;Maidot ja piimät
8023043;Valio Eila® voi 500 g laktoositon;6408430310654;1;1;kpl;4,91;9,82;kg;5,6;Ei;Ei;4,91;0,69;0;96;VALIO OY TUORE;Voirasiat ja -paketit
8054679;Valio suurtalous kuohukerma 1,75 l laktoositon;6408432096266;1;1;kpl;8,32;4,75;l;9,48;Ei;Ei;8,32;1,16;0;96;VALIO OY TUORE;Kermat
8079322;Valio kevytmaito 1 l ESL;6408430102099;1;1;kpl;1,18;1,18;l;1,35;Ei;Ei;1,18;0,17;0;96;VALIO OY TUORE;Maidot ja piimät
8090987;Oddlygood® Barista kaurajuoma 1 l UHT gluteeniton;6430081490041;1;1;kpl;1,83;1,83;l;2,09;Ei;Ei;1,83;0,26;0;96;VALIO OY TUORE;Kasvipohjaiset maidonkaltaiset
9908840;Valio Eila® rasvaton piimä 1 l laktoositon;6408430001996;1;1;kpl;1,91;1,91;l;2,18;Ei;Ei;1,91;0,27;0;96;VALIO OY TUORE;Maidot ja piimät
9906525;Valio raejuusto 2,5 kg laktoositon;6408430043125;1;1;kpl;12,15;4,86;kg;13,85;Ei;Ei;12,15;1,7;0;96;VALIO OY TUORE;Juustoraasteet, -murut ja -lastut
8042224;Valio kahvimaito 1 l laktoositon UHT;6408430000500;1;1;kpl;1,95;1,95;l;2,22;Ei;Ei;1,95;0,27;0;96;VALIO OY TUORE;Maidot ja piimät
8079270;Valio rasvaton maito 1 l ESL;6408430102082;1;1;kpl;1,03;1,03;l;1,17;Ei;Ei;1,03;0,14;0;96;VALIO OY TUORE;Maidot ja piimät
8042234;Valio vispikerma 1 l UHT laktoositon;6408430014996;1;1;kpl;5,97;5,97;l;6,81;Ei;Ei;5,97;0,84;0;96;VALIO OY TUORE;Kermat
8027;Valio kahvikerma 1 l laktoositon;6408430001507;1;1;kpl;4,08;4,08;l;4,65;Ei;Ei;4,08;0,57;0;96;VALIO OY TUORE;Kermat
9908839;Valio Gefilus® AB-piimä 1% 1 l laktoositon;6408430001859;1;1;kpl;1,73;1,73;l;1,97;Ei;Ei;1,73;0,24;0;96;VALIO OY TUORE;Maidot ja piimät
8043410;Valio Hyvä suomalainen Arki® Eila® rasvaton maitojuoma 1 l laktoositon;6408430000494;1;1;kpl;1,31;1,31;l;1,49;Ei;Ei;1,31;0,18;0;96;VALIO OY TUORE;Maidot ja piimät
9906180;Valiojogurtti® 200 g mansikka laktoositon;6408430002016;1;1;kpl;0,56;2,8;kg;0,64;Ei;Ei;0,56;0,08;0;96;VALIO OY TUORE;Jogurtit
9906579;Valio mustikkakeitto 1 kg;6408430062119;1;1;kpl;3,02;3,02;kg;3,44;Ei;Ei;3,02;0,42;0;96;VALIO OY TUORE;Mehukeitot
8042238;Valio ruokakerma 15 % 1 l UHT laktoositon;6408430014958;1;1;kpl;3,26;3,26;l;3,72;Ei;Ei;3,26;0,46;0;96;VALIO OY TUORE;Kermat
8074323;Valio Hyvä suomalainen Arki® kermajuustoviipale e800 g;6408430342747;1;1;kpl;8,97;11,21;kg;10,23;Ei;Ei;8,97;1,26;0;96;VALIO OY TUORE;Viipalejuustot
9906182;Valiojogurtti® 200 g hedelmäpommi laktoositon;6408430002030;1;1;kpl;0,56;2,8;kg;0,64;Ei;Ei;0,56;0,08;0;96;VALIO OY TUORE;Jogurtit
9906181;Valiojogurtti® 200 g banaani laktoositon;6408430002023;1;1;kpl;0,56;2,8;kg;0,64;Ei;Ei;0,56;0,08;0;96;VALIO OY TUORE;Jogurtit
8064735;Valio Hyvä suomalainen Arki® emmentalviipale e800 g;6408430341900;1;1;kpl;8,97;11,21;kg;10,23;Ei;Ei;8,97;1,26;0;96;VALIO OY TUORE;Viipalejuustot
9906581;Valio mansikkakeitto 1 kg;6408430062133;1;1;kpl;3,02;3,02;kg;3,44;Ei;Ei;3,02;0,42;0;96;VALIO OY TUORE;Mehukeitot
8053441;Valio Oltermanni® 17 % e300 g viipale;6408430340538;1;1;kpl;4,56;15,2;kg;5,2;Ei;Ei;4,56;0,64;0;96;VALIO OY TUORE;Viipalejuustot
9906378;Valio AURA® e1 kg murennettu sinihomejuusto;6408430033034;1;1;kpl;16,04;16,04;kg;18,29;Ei;Ei;16,04;2,25;0;96;VALIO OY TUORE;Sini- ja punahomejuustot
8007755;Valio Eila® ykkösviili 200 g maustamaton laktoositon;6408430004539;1;1;kpl;0,68;3,4;kg;0,78;Ei;Ei;0,68;0,1;0;96;VALIO OY TUORE;Viilit
9906515;Valio maitorahka 5 kg laktoositon;6408430042241;1;1;kpl;21,69;4,34;kg;24,73;Ei;Ei;21,69;3,04;0;96;VALIO OY TUORE;Rahkat
8042230;Valio täysmaito 1 l laktoositon UHT;6408430011674;1;1;kpl;1,9;1,9;l;2,17;Ei;Ei;1,9;0,27;0;96;VALIO OY TUORE;Maidot ja piimät
9906508;Valio smetana 2 kg laktoositon;6408430041084;1;1;kpl;20,51;10,26;kg;23,38;Ei;Ei;20,51;2,87;0;96;VALIO OY TUORE;Muut hapanmaitotuotteet
9906195;Valiojogurtti® 200 g vanilja laktoositon;6408430002665;1;1;kpl;0,56;2,8;kg;0,64;Ei;Ei;0,56;0,08;0;96;VALIO OY TUORE;Jogurtit
8042228;Valio kevytmaito 1 l laktoositon UHT;6408430011667;1;1;kpl;1,79;1,79;l;2,04;Ei;Ei;1,79;0,25;0;96;VALIO OY TUORE;Maidot ja piimät
8022252;Valio Hyvä suomalainen Arki® juustoviipale e500 g;6408430338313;1;1;kpl;4,26;8,52;kg;4,86;Ei;Ei;4,26;0,6;0;96;VALIO OY TUORE;Viipalejuustot
8079979;Valio Hyvä suomalainen Arki® rae rasvaton 500 g laktoositon;6408430141487;1;1;kpl;2,89;5,78;kg;3,29;Ei;Ei;2,89;0,4;0;96;VALIO OY TUORE;Juustoraasteet, -murut ja -lastut
8079278;Valio täysmaito 1 l ESL;6408430102105;1;1;kpl;1,38;1,38;l;1,57;Ei;Ei;1,38;0,19;0;96;VALIO OY TUORE;Maidot ja piimät
8022880;Valio Hyvä suomalainen Arki® goudaviipale e800 g;6408430338320;1;1;pkt;8,97;11,21;kg;10,23;Ei;Ei;8,97;1,26;0;96;VALIO OY TUORE;Viipalejuustot
8024;Valio rasvaton piimä 1 l;6408430001705;1;1;kpl;1,3;1,3;l;1,48;Ei;Ei;1,3;0,18;0;96;VALIO OY TUORE;Maidot ja piimät
8074331;Oddlygood® kaurajuoma 1 l UHT gluteeniton;6408430102204;1;1;kpl;1,5;1,5;l;1,71;Ei;Ei;1,5;0,21;0;96;VALIO OY TUORE;Kasvipohjaiset maidonkaltaiset
8078328;Valio Ruoka 15 % 1 l laktoositon;6408430141418;1;1;kpl;2,18;2,18;l;2,49;Ei;Ei;2,18;0,31;0;96;VALIO OY TUORE;Kermat
8037109;Valio Salaneuvos® gouda e300 g viipale;6408430338795;1;1;kpl;4,64;15,47;kg;5,29;Ei;Ei;4,64;0,65;0;96;VALIO OY TUORE;Viipalejuustot
8007742;Valio salaattijuusto kuutiot 2 kg laktoositon;6408430337675;1;1;kpl;23,18;11,59;kg;26,43;Ei;Ei;23,18;3,25;0;96;VALIO OY TUORE;Fetat ja salaattijuustot
8029113;Valio PROfeel® proteiinirahka 175 g mansikka laktoositon;6408430042692;1;1;kpl;1,26;7,2;kg;1,44;Ei;Ei;1,26;0,18;0;96;VALIO OY TUORE;Rahkat
9906293;Valiojogurtti® 1 kg banaani laktoositon;6408430021031;1;1;kpl;1,99;1,99;kg;2,27;Ei;Ei;1,99;0,28;0;96;VALIO OY TUORE;Jogurtit
8042576;Valio vaahtoutuva vaniljakastike 9 % 1 l UHT laktoositon;6408430015016;1;1;kpl;5,95;5,95;l;6,78;Ei;Ei;5,95;0,83;0;96;VALIO OY TUORE;Jälkiruokakastikkeet
8078297;Valio turkkilainen ruokajogurtti 6% 5 kg laktoositon;6408430141333;1;1;kpl;15,72;3,14;kg;17,92;Ei;Ei;15,72;2,2;0;96;VALIO OY TUORE;Jogurtit
8078686;Valio tuorejuusto 3,5 kg maustamaton laktoositon;6408430342624;1;1;kpl;25,61;7,32;kg;29,2;Ei;Ei;25,61;3,59;0;96;VALIO OY TUORE;Tuorejuustot
8043502;Valio Oivariini® 400 g laktoositon;6408430310753;1;1;kpl;3,66;9,15;kg;4,17;Ei;Ei;3,66;0,51;0;96;VALIO OY TUORE;Margariinirasiat ja -paketit
8081987;Valio A+™ Luomu™ luonnonjogurtti 5 kg rasvaton laktoositon;6408430400096;1;1;kpl;14,7;2,94;kg;16,76;Ei;Ei;14,7;2,06;0;96;VALIO OY TUORE;Jogurtit
8022855;Valio Eila® 3 % maitojuoma 1 l laktoositon;6408430000296;1;1;kpl;2,02;2,02;l;2,3;Ei;Ei;2,02;0,28;0;96;VALIO OY TUORE;Maidot ja piimät
8067157;Valio jogurtti 150 g rasvaton metsämarja laktoositon (ammattikeittiöille);6408430407941;1;1;prk;0,45;3,0;kg;0,51;Ei;Ei;0,45;0,06;0;96;VALIO OY TUORE;Jogurtit
9906578;Valio mustikkakeitto 1 kg sokeroimaton;6408430062102;1;1;kpl;3,02;3,02;kg;3,44;Ei;Ei;3,02;0,42;0;96;VALIO OY TUORE;Mehukeitot
9906407;Valio Edam 17 % e300 g viipale;6408430036349;1;1;kpl;4,56;15,2;kg;5,2;Ei;Ei;4,56;0,64;0;96;VALIO OY TUORE;Viipalejuustot
8042263;Valio Hyvä suomalainen Arki® kermajuustoviipale e400 g;6408430339327;1;1;kpl;4,26;10,65;kg;4,86;Ei;Ei;4,26;0,6;0;96;VALIO OY TUORE;Viipalejuustot
9906200;Valio kermaviili 5 kg laktoositon;6408430004065;1;1;kpl;16,23;3,25;kg;18,5;Ei;Ei;16,23;2,27;0;96;VALIO OY TUORE;Muut hapanmaitotuotteet
9906583;Valio vadelmakeitto 1 kg;6408430062157;1;1;kpl;3,02;3,02;kg;3,44;Ei;Ei;3,02;0,42;0;96;VALIO OY TUORE;Mehukeitot
8010265;Valio turkkilainen jogurtti 2 kg laktoositon;6408432095634;1;1;kpl;9,09;4,55;kg;10,36;Ei;Ei;9,09;1,27;0;96;VALIO OY TUORE;Jogurtit
8072678;Valio jogurtti 5 kg marja laktoositon;6408430408634;1;1;kpl;14,22;2,84;kg;16,21;Ei;Ei;14,22;1,99;0;96;VALIO OY TUORE;Jogurtit
9906275;Valiojogurtti® 1 kg vanilja laktoositon;6408430020539;1;1;kpl;1,99;1,99;kg;2,27;Ei;Ei;1,99;0,28;0;96;VALIO OY TUORE;Jogurtit
9906584;Valio vadelmakeitto 1 kg sokeroimaton;6408430062171;1;1;kpl;3,02;3,02;kg;3,44;Ei;Ei;3,02;0,42;0;96;VALIO OY TUORE;Mehukeitot
